ac_number,constituency,region,party,candidate,winner_votes,total_valid_votes,vote_share_2021
179,Viralimalai,Delta,AIADMK,VIJAYA BASKER C,102179,193423,52.83
180,Pudukkottai,Delta,DMK,V . MUTHURAJA,85802,179892,47.7
181,Thirumayam,Delta,DMK,S.REGUPATHY,71349,174031,41.0
182,Alangudi,Delta,DMK,SIVA.V.MEYYANATHAN,87935,171842,51.17
183,Arantangi,Delta,INC,RAMACHANDRAN T,81835,168048,48.7
184,Karaikudi,South,INC,S.Mangudi,75954,212456,35.75
185,Tiruppattur,South,DMK,KR.PERIYAKARUPPAN,103682,210766,49.19
186,Sivaganga,South,AIADMK,PR. Senthilnathan,82153,202044,40.66
187,Manamadurai,South,DMK,Tamilarasi A.,89364,203061,44.01
188,Melur,South,AIADMK,PERIYAPULLAN @ SELVAM  P.,83344,182782,45.6
189,Madurai East,South,DMK,MOORTHY P,122729,237892,51.59
190,Sholavandan,South,DMK,VENKATESAN A,84240,175361,48.04
191,Madurai North,South,DMK,THALAPATHI G,73010,156556,46.64
192,Madurai South,South,DMK,BOOMINATHAN.M,62812,147833,42.49
193,Madurai Central,South,DMK,PALANIVEL THIAGA RAJAN,73205,149430,48.99
194,Madurai West,South,AIADMK,RAJU. K,83883,201694,41.59
195,Thiruparankundram,South,AIADMK,"RAJANCHELLAPPA, V.V.",103683,235849,43.96
196,Thirumangalam,South,AIADMK,UDHAYAKUMAR R B,100338,220495,45.51
197,Usilampatti,South,AIADMK,AYYAPPAN P,71255,212513,33.53
198,Andipatti,South,DMK,A.MAHARAJAN,93541,209540,44.64
199,Periyakulam,South,DMK,K.S.SARAVANAKUMAAR,92251,201797,45.71
200,Bodinayakanur,South,AIADMK,O.PANNEERSELVAM,100050,214795,46.58
201,Cumbum,South,DMK,N.Ramakrishnan,104800,202275,51.81
202,Rajapalayam,South,DMK,THANGAPANDIAN S.,74158,178708,41.5
203,Srivilliputhur,South,AIADMK,"MANRAJ, E.M.",70475,185039,38.09
204,Sattur,South,DMK,"RAGHURAMAN,  A.R.R.",74174,191783,38.68
205,Sivakasi,South,INC,Ashokan.G,78947,185047,42.66
206,Virudhunagar,South,DMK,SEENIVASAN A.R.R,73297,161717,45.32
207,Aruppukottai,South,DMK,K.K.S.S.R.RAMACHANDRAN,91040,171201,53.18
208,Tiruchuli,South,DMK,THANGAM THENARASU,102225,172811,59.15
209,Paramakudi,South,DMK,MURUGESAN S,84864,182158,46.59
210,Tiruvadanai,South,INC,KARUMANICKAM,79364,201815,39.33
211,Ramanathapuram,South,DMK,KATHARBATCHA MUTHURAMALINGAM,111082,214098,51.88
212,Mudukulathur,South,DMK,R.S.RAJAKANNAPPAN,101901,221213,46.06
213,Vilathikulam,South,DMK,MARKANDAYAN V,90348,167169,54.05
214,Thoothukkudi,South,DMK,P.Geetha Jeevan,92314,188407,49.0
215,Tiruchendur,South,DMK,Anitha R. Radhakrishnan,88274,174536,50.58
216,Srivaikuntam,South,INC,Amirtharaj .S,76843,164386,46.75
217,Ottapidaram,South,DMK,SHUNMUGAIAH C,73110,177840,41.11
218,Kovilpatti,South,AIADMK,KADAMBUR RAJU,68556,180928,37.89
219,Sankarankovil,South,DMK,RAJA E,71347,183338,38.92
220,Vasudevanallur,South,DMK,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",68730,175881,39.08
221,Kadayanallur,South,AIADMK,C.KRISHNAMURALI,88474,205374,43.08
222,Tenkasi,South,INC,PALANI NADAR.S,89315,214108,41.71
223,Alangulam,South,AIADMK,PAUL MANOJ PANDIAN,74153,203478,36.44
224,Tirunelveli,South,BJP,Nainar Nagenthran,92282,197587,46.7
225,Ambasamudram,South,AIADMK,E.SUBAYA,85211,177681,47.96
226,Palayamcottai,South,DMK,ABDUL WAHAB .M,89117,161091,55.32
227,Nanguneri,South,INC,RUBY R MANOHARAN,75902,192522,39.43
228,Radhapuram,South,DMK,M.Appavu,82331,187310,43.95
229,Kanniyakumari,South,AIADMK,THALAVAI SUNDARAM N.,109745,224874,48.8
230,Nagercoil,South,BJP,Gandhi M.R.,88804,184185,48.21
231,Colachel,South,INC,Prince J.G.,90681,182969,49.56
232,Padmanabhapuram,South,DMK,"Mano Thangaraj, T.",87744,170156,51.57
233,Vilavancode,South,INC,VIJAYADHARANI S,87473,167836,52.12
234,Killiyoor,South,INC,RAJESH KUMAR  S,101541,169918,59.76
