ac_number,constituency,region,district,winning_party_2021,winning_candidate_2021,winning_party_2026,winning_candidate_2026,total_votes_2021,total_votes_2026,Flipped?,winning_party_alliance_2021,winning_party_alliance_2026
167,Mannargudi,Delta,Tiruvarur,DMK,RAJAA T R B,AMMK,KAMARAJ. S,87172,68416,Yes,DMK+,AIADMK+
168,Thiruvarur,Delta,Tiruvarur,DMK,KALAIVANAN  POONDI  K.,DMK,KALAIVANAN POONDI  K,108906,93408,No,DMK+,DMK+
169,Nannilam,Delta,Tiruvarur,AIADMK,KAMARAJ R,AIADMK,KAMARAJ. R,103637,103462,No,AIADMK+,AIADMK+
170,Thiruvidamarudur,Delta,Thanjavur,DMK,"CHEZHIAAN,  GOVI.",DMK,GOVI.CHEZHIAAN,95763,79951,No,DMK+,DMK+
171,Kumbakonam,Delta,Thanjavur,DMK,"ANBALAGAN, G.",TVK,VINOTH,96057,78650,Yes,DMK+,TVK
172,Papanasam,Delta,Thanjavur,DMK,"Dr.JAWAHIRULLAH, M.H.",IUML,A.M. SHAHJAHAN,86567,69284,Yes,DMK+,DMK+
173,Thiruvaiyaru,Delta,Thanjavur,DMK,DURAI.CHANDRASEKARAN,DMK,DURAI. CHANDRASEKARAN,103210,80425,No,DMK+,DMK+
174,Thanjavur,Delta,Thanjavur,DMK,"NEELAMEGAM, T.K.G.",TVK,R. VIJAYSARAVANAN,103772,87705,Yes,DMK+,TVK
175,Orathanad,Delta,Thanjavur,AIADMK,"VAITHILINGAM, R.",DMK,R. VAITHILINGAM,90063,86759,Yes,AIADMK+,DMK+
176,Pattukkottai,Delta,Thanjavur,DMK,"ANNADURAI, K.",DMK,ANNADURAI K,79065,65963,No,DMK+,DMK+
177,Peravurani,Delta,Thanjavur,DMK,"ASHOKKUMAR, N.",DMK,ASHOKKUMAR. N,89130,60919,No,DMK+,DMK+
178,Gandharvakottai,Delta,Pudukkottai,CPI(M),M.Chinnadurai,TVK,N. SUBRAMANIAN,69710,58795,Yes,DMK+,TVK
179,Viralimalai,Delta,Pudukkottai,AIADMK,VIJAYA BASKER C,AIADMK,VIJAYABASKAR. C,102179,105773,No,AIADMK+,AIADMK+
180,Pudukkottai,Delta,Pudukkottai,DMK,V . MUTHURAJA,DMK,V. MUTHURAJA,85802,66825,No,DMK+,DMK+
181,Thirumayam,Delta,Pudukkottai,DMK,S.REGUPATHY,DMK,REGUPATHY.S,71349,58201,No,DMK+,DMK+
182,Alangudi,Delta,Pudukkottai,DMK,SIVA.V.MEYYANATHAN,DMK,SIVA.V.MEYYANATHAN,87935,64929,No,DMK+,DMK+
